id	filename	md5	size	state
499d28ee-4d16-494f-8129-37670f072d92	87532533-92ae-4001-a36d-c42645471382.rna_seq.transcriptome.gdc_realn.bam	8bd777ab70d7c29af556dfb2b0485a1a	13230782160	released
838abb22-7d1d-4f3d-b957-e106267287a2	88441590-9b57-4996-ad33-bed2f2a45174.rna_seq.transcriptome.gdc_realn.bam	d26555e697c7459770736aa956a9bbc6	8469594906	released
f344b546-167e-4926-852f-76fa082f5037	48d294db-a4f2-47ce-8765-716750a3e580.rna_seq.transcriptome.gdc_realn.bam	51cfc33368c7afe256a23ba6c50c716e	12807130496	released
879c1719-2a1b-4138-8f22-90b9c7069f1d	e4497d02-59d3-40b9-8188-06052a40f38f.rna_seq.transcriptome.gdc_realn.bam	c87045bfcc6f0b217f7034017ac70254	11925607780	released
70954a78-d547-430c-a617-0106ad06674d	f9806a31-d0e2-4bea-858b-3934067ba2f4.rna_seq.transcriptome.gdc_realn.bam	b21aab8d2e1fb99dd0f47930a782f2e8	13325369178	released
7fb60673-ef38-433a-bdd7-06cdeb2213f9	2b000b8d-c9dc-4d75-bfba-33f585d48474.rna_seq.transcriptome.gdc_realn.bam	ac2231638d786d6b77cc7d5779331037	7633633734	released
bbe8aca1-d32d-4b10-bfbb-ae83e8264021	ca2861f5-ac05-4a08-ba47-3a6e439502a1.rna_seq.transcriptome.gdc_realn.bam	c3b86d89c2d4aeaa00f0355029feb58a	10589584400	released
9d0bc382-57d1-41cf-98c2-8730b58e04bb	808dc483-e422-49db-b1c3-eb41775169b9.rna_seq.transcriptome.gdc_realn.bam	a87ef2df607aeefdca46011bc5278331	9162308031	released
bbaea97c-0ce1-4e9f-9e19-0d6ed35e1410	cb07a404-6c54-439d-bfa8-b0fccaf4bf8a.rna_seq.transcriptome.gdc_realn.bam	83f8fe5a9c3b172df89af541683d4b43	9008398539	released
5c7a84d9-355f-481e-87ab-0b962f8eac7d	0ddbbf5c-24ab-400f-bff6-04c19b986227.rna_seq.transcriptome.gdc_realn.bam	47fc805e0382ba494c2823ba1a25a2a1	8019506056	released
a7082210-5a40-4b4c-85ef-19d7001ecd64	785e3f2a-37d8-4cfa-a6f3-e08fd04a677f.rna_seq.transcriptome.gdc_realn.bam	bb9c88f51431c29785745028971da548	8576238516	released
